'54aff00,Chris,16 minutes ago,Accents are now properly handled by slugs. Closes #85.'
'143aee5,Chris,6 hours ago,UserSkill#new now pulls id from session. Closes #83.'
'ec8bec9,Chris,6 hours ago,User names are now capitalized in the database, regardless to how user inputs them. Closes #64.'
'cb2583b,Chris,6 hours ago,Refactored auth, user#edit, and user#update to work with slug system. Closes #88.'
'e403145,Chris,7 hours ago,Merge branch 'master' of https://github.com/vutuv/vutuv'
'945187e,Chris,7 hours ago,A misunderstanding with how pipe_through functions led to multiple tokens being generated, resulting in differing tokens between the client and server. The misunderstanding has been cleared up. Closes #84.'
'01e6dd2,Stefan Wintermeyer,2 days ago,Code cleanup'
'f0c07f7,Chris,3 days ago,Refactored resolve_slug plug. Also moved auth.ex to plugs directory. Closes #79. This commit also contains the beginnings of the admin control panel system.'
'98ac4e9,Chris,3 days ago,Slugs can now only start with a-z. Closes #78.'
'4e32210,Chris,3 days ago,Invalid slugs now render an error page. Closes #71.'
'68eb9c3,Chris,3 days ago,User default slug is now first.last<number>. Closes #72.'
'4463b05,Chris,3 days ago,Slugs can now only be composed of the charcters a-z, 0-9 and . and -. Closes #70.'
'e8336b2,Chris,3 days ago,Minor code cleanup. Removed unused variable. Closes #75.'
'ea4f845,Chris,3 days ago,Fixed deprecated use of :empty. All models now use an empty struct. Closes #74'
'e0e84e3,Chris,3 days ago,Fixed unsafe variable. Closes #76'
'db5b153,Stefan Wintermeyer,4 days ago,Code cleanup'
'8448b45,Chris,4 days ago,Removed unnecessesary line from Auth.ex left in from slug development. Closes #69.'
'e758d57,Chris,5 days ago,MySql is up and running on my local development environment. Migration fixes have been tested to work. Closes #68.'
'9175c6e,Chris,5 days ago,Merge branch 'master' of https://github.com/vutuv/vutuv'
'64630d3,Chris,5 days ago,Changes to mix file to fix mariaex.'
'b561e42,Stefan Wintermeyer,5 days ago,Bugfix. closes #67'
'1ab7a8c,Chris,5 days ago,Merge branch 'master' of https://github.com/vutuv/vutuv'
'47821d1,Chris,5 days ago,Merge branch 'master' of https://github.com/vutuv/vutuv'
'a221be6,Stefan Wintermeyer,5 days ago,Adds mariaex deps'
